iter	Passed	Remaining
401	20015	477875
402	20055	477606
403	20104	477529
404	20157	477547
405	20209	477570
406	20254	477404
407	20292	477063
408	20346	477124
409	20387	476873
410	20434	476755
411	20486	476747
412	20550	477046
413	20604	477099
414	20653	477014
415	20692	476720
416	20739	476609
417	20787	476521
418	20833	476390
419	20882	476318
420	20933	476304
421	20994	476497
422	21036	476271
423	21084	476188
424	21136	476193
425	21188	476205
426	21236	476095
427	21294	476246
428	21339	476092
429	21390	476073
430	21431	475825
431	21481	475780
432	21543	476001
433	21596	476011
434	21651	476093
435	21701	476033
436	21751	475997
437	21789	475690
438	21826	475352
439	21873	475248
440	21914	475010
441	21961	474897
442	22005	474737
443	22046	474486
444	22084	474187
445	22125	473972
446	22179	473998
447	22220	473779
448	22277	473887
449	22326	473826
450	22374	473737
451	22422	473645
452	22479	473753
453	22521	473541
454	22566	473403
455	22623	473513
456	22668	473354
457	22718	473324
458	22765	473212
459	22813	473126
460	22859	473006
461	22907	472927
462	22951	472757
463	22997	472632
464	23045	472565
465	23092	472457
466	23138	472328
467	23179	472106
468	23228	472048
469	23266	471768
470	23308	471562
471	23362	471603
472	23411	471541
473	23454	471358
474	23499	471222
475	23547	471147
476	23598	471121
477	23644	471009
478	23692	470931
479	23734	470736
480	23783	470669
481	23836	470700
482	23882	470573
483	23931	470520
484	23976	470383
485	24022	470262
486	24070	470190
487	24113	470018
488	24163	469973
489	24213	469938
490	24263	469907
491	24308	469767
492	24370	469954
493	24428	470070
494	24476	470001
495	24531	470053
496	24587	470128
497	24631	469982
498	24678	469889
499	24725	469780
500	24777	469779
501	24828	469754
502	24872	469615
503	24922	469564
504	24961	469324
505	25017	469403
506	25069	469390
507	25118	469337
508	25164	469222
509	25200	468928
510	25254	468963
511	25298	468810
512	25348	468766
513	25402	468807
514	25453	468784
515	25507	468831
516	25556	468768
517	25608	468755
518	25647	468530
519	25706	468657
520	25758	468645
521	25809	468618
522	25857	468544
523	25907	468501
524	25964	468602
525	26014	468561
526	26064	468513
527	26112	468433
528	26165	468456
529	26210	468318
530	26260	468288
531	26305	468152
532	26346	467964
533	26390	467809
534	26440	467779
535	26488	467693
536	26529	467505
537	26576	467411
538	26629	467416
539	26672	467256
540	26716	467125
541	26769	467137
542	26822	467152
543	26872	467108
544	26922	467068
545	26965	466910
546	27006	466706
547	27042	466438
548	27088	466326
549	27135	466238
550	27175	466034
551	27218	465865
552	27262	465723
553	27314	465724
554	27366	465731
555	27422	465780
556	27470	465712
557	27529	465823
558	27576	465746
559	27622	465628
560	27672	465596
561	27718	465490
562	27765	465402
563	27804	465191
564	27849	465055
565	27892	464902
566	27942	464876
567	27989	464783
568	28039	464744
569	28079	464544
570	28123	464403
571	28172	464346
572	28220	464278
573	28263	464137
574	28313	464094
575	28348	463813
576	28397	463755
577	28444	463682
578	28495	463655
579	28543	463592
580	28590	463503
581	28634	463374
582	28690	463420
583	28740	463388
584	28786	463297
585	28835	463235
586	28880	463115
587	28925	463000
588	28971	462911
589	29025	462933
590	29076	462906
591	29133	462978
592	29175	462815
593	29218	462680
594	29264	462576
595	29318	462609
596	29358	462406
597	29411	462423
598	29454	462277
599	29503	462216
600	29548	462102
601	29594	462002
602	29637	461856
603	29686	461816
604	29741	461852
605	29794	461861
606	29848	461888
607	29898	461854
608	29954	461915
609	29998	461774
610	30045	461701
611	30088	461555
612	30137	461507
613	30187	461458
614	30253	461676
615	30304	461648
616	30361	461728
617	30411	461688
618	30456	461564
619	30500	461447
620	30548	461379
621	30592	461245
622	30634	461090
623	30685	461074
624	30740	461108
625	30786	461008
626	30841	461041
627	30891	461015
628	30934	460870
629	30988	460897
630	31029	460720
631	31090	460848
632	31141	460831
633	31186	460706
634	31233	460633
635	31271	460423
636	31331	460533
637	31382	460512
638	31427	460392
639	31472	460279
640	31526	460299
641	31569	460164
642	31614	460064
643	31670	460106
644	31710	459930
645	31766	459982
646	31815	459918
647	31858	459777
648	31908	459750
649	31959	459728
650	32016	459784
651	32061	459674
652	32110	459627
653	32156	459526
654	32202	459432
655	32245	459298
656	32306	459418
657	32349	459283
658	32392	459154
659	32438	459051
660	32492	459070
661	32534	458921
662	32579	458811
663	32625	458721
664	32683	458798
665	32725	458650
666	32774	458598
667	32819	458494
668	32869	458452
669	32922	458463
670	32970	458390
671	33017	458315
672	33062	458210
673	33110	458146
674	33154	458019
675	33200	457937
676	33251	457903
677	33304	457912
678	33365	458020
679	33411	457936
680	33450	457742
681	33499	457689
682	33554	457720
683	33605	457704
684	33654	457648
685	33696	457506
686	33746	457463
687	33787	457304
688	33831	457190
689	33880	457140
690	33930	457109
691	33978	457045
692	34030	457032
693	34075	456920
694	34120	456820
695	34172	456818
696	34220	456746
697	34263	456614
698	34315	456611
699	34368	456614
700	34416	456551
701	34473	456599
702	34518	456494
703	34553	456267
704	34606	456264
705	34653	456192
706	34713	456286
707	34765	456268
708	34822	456321
709	34867	456225
710	34912	456124
711	34965	456126
712	35023	456187
713	35075	456176
714	35121	456088
715	35170	456034
716	35220	455999
717	35263	455876
718	35321	455932
719	35369	455868
720	35415	455783
721	35459	455675
722	35509	455633
723	35562	455638
724	35622	455717
725	35681	455798
726	35730	455743
727	35768	455556
728	35811	455434
729	35861	455387
730	35907	455307
731	35952	455207
732	35996	455089
733	36043	455015
734	36087	454901
735	36138	454874
736	36195	454920
737	36245	454886
738	36295	454847
739	36342	454769
740	36384	454638
741	36428	454518
742	36468	454353
743	36517	454304
744	36562	454213
745	36609	454136
746	36664	454155
747	36719	454187
748	36768	454131
749	36814	454040
750	36859	453941
751	36904	453840
752	36944	453691
753	36991	453607
754	37031	453447
755	37080	453399
756	37137	453444
757	37172	453234
758	37219	453156
759	37264	453063
760	37323	453125
761	37366	453003
762	37409	452891
763	37465	452920
764	37515	452880
765	37563	452818
766	37620	452870
767	37670	452828
768	37713	452709
769	37764	452684
770	37813	452632
771	37858	452531
772	37900	452407
773	37944	452288
774	37995	452268
775	38044	452221
776	38094	452183
777	38147	452185
778	38202	452199
779	38250	452134
780	38300	452107
781	38354	452112
782	38403	452068
783	38452	452011
784	38498	451925
785	38557	451999
786	38610	451988
787	38661	451972
788	38710	451913
789	38762	451901
790	38808	451817
791	38860	451796
792	38912	451785
793	38964	451774
794	39011	451694
795	39062	451672
796	39112	451639
797	39162	451597
798	39210	451531
799	39250	451380
800	39288	451201
801	39339	451179
802	39390	451152
803	39434	451041
804	39483	450997
805	39532	450948
806	39580	450883
807	39630	450840
808	39685	450859
809	39743	450919
810	39794	450888
811	39842	450824
812	39887	450730
813	39932	450640
814	39990	450689
815	40036	450611
816	40080	450501
817	40128	450435
818	40177	450385
819	40224	450314
820	40271	450245
821	40325	450247
822	40376	450222
823	40427	450196
824	40481	450203
825	40531	450159
826	40590	450230
827	40642	450212
828	40685	450092
829	40728	449981
830	40782	449981
831	40832	449940
832	40882	449900
833	40932	449864
834	40994	449961
835	41046	449939
836	41100	449943
837	41151	449911
838	41202	449887
839	41253	449858
840	41298	449766
841	41347	449711
842	41389	449593
843	41439	449544
